File,Subject,Task,Run,Method,Rank,Rank_R1,Rank_R2,Original_Parameters,Compressed_Parameters,Compression_Ratio,Compression_Factor,Reconstruction_Error,Reconstruction_Error_Percent,Explained_Variance,Explained_Variance_Percent,Runtime_Seconds,Status
../data/preprocessed/002/motor/run02_epochs.npz,002,motor,run02,TT,"(1, 10, 15, 1)",10,15,2942100,26215,0.9910896978348799,112.22963951935914,0.3302198943827479,33.02198943827479,0.8909548213538468,89.09548213538469,0.709500997,Success
../data/preprocessed/002/motor/run02_epochs.npz,002,motor,run02,TT,"(1, 15, 10, 1)",15,10,2942100,19560,0.993351688,150.41411042944785,0.28875443897256164,28.875443897256165,0.9166208739736412,91.66208739736412,0.7364851510001245,Success
../data/preprocessed/002/motor/run02_epochs.npz,002,motor,run02,TT,"(1, 15, 15, 1)",15,15,2942100,28815,0.9902059753237483,102.10307131702238,0.25983945205678766,25.983945205678765,0.9324834591548283,93.24834591548283,0.8100440729995171,Success
../data/preprocessed/002/motor/run02_epochs.npz,002,motor,run02,TT,"(1, 15, 20, 1)",15,20,2942100,38070,0.9870602630773937,77.28132387706856,0.2564228195599257,25.64228195599257,0.9342473376089379,93.42473376089379,1.1437954909997643,Success
../data/preprocessed/002/motor/run02_epochs.npz,002,motor,run02,TT,"(1, 20, 15, 1)",20,15,2942100,31415,0.9893222528126169,93.65271367181283,0.22018959995031084,22.018959995031086,0.9515165400737221,95.15165400737222,0.7883882679998351,Success
../data/preprocessed/002/motor/run02_epochs.npz,002,motor,run02,TT,"(1, 20, 20, 1)",20,20,2942100,41420,0.9859216206111281,71.03090294543699,0.21485790002115374,21.485790002115372,0.953836083,95.38360828,0.8532049440000264,Success
../data/preprocessed/002/motor/run03_epochs.npz,002,motor,run03,TT,"(1, 3, 3, 1)",3,3,3110220,4695,0.9984904604818952,662.4536741214057,0.5941721496413916,59.41721496413916,0.6469594565905277,64.69594565905277,1.1622578570004407,Success
../data/preprocessed/002/motor/run03_epochs.npz,002,motor,run03,TT,"(1, 3, 5, 1)",3,5,3110220,7677,0.9975316858614504,405.1348182883939,0.5673322039248967,56.73322039248967,0.6781341703897193,67.81341703897193,1.3770808380004382,Success
../data/preprocessed/002/motor/run03_epochs.npz,002,motor,run03,TT,"(1, 5, 3, 1)",5,3,3110220,5023,0.9983850017040595,619.1956997810074,0.5699111613126177,56.99111613126176,0.6752012682113036,67.52012682113036,0.7142294320001383,Success
../data/preprocessed/002/motor/run03_epochs.npz,002,motor,run03,TT,"(1, 5, 5, 1)",5,5,3110220,8125,0.9973876446039187,382.79630769230766,0.5024586425975096,50.24586425975096,0.747535312,74.75353125,0.6526124030006031,Success
../data/preprocessed/002/motor/run03_epochs.npz,002,motor,run03,TT,"(1, 5, 7, 1)",5,7,3110220,11227,0.9963902875037779,277.03037320744636,0.4893722237941295,48.93722237941295,0.7605148265787884,76.05148265787885,0.6286741209996762,Success
../data/preprocessed/002/motor/run03_epochs.npz,002,motor,run03,TT,"(1, 7, 5, 1)",7,5,3110220,8573,0.9972436033463871,362.7924880438586,0.4828746044412217,48.28746044412217,0.7668321163857337,76.68321163857337,0.9479172780002045,Success
../data/preprocessed/002/motor/run03_epochs.npz,002,motor,run03,TT,"(1, 7, 7, 1)",7,7,3110220,11795,0.9962076637665502,263.6896990250106,0.4454073251937556,44.54073251937556,0.801612315,80.16123147,0.675601544,Success
../data/preprocessed/002/motor/run03_epochs.npz,002,motor,run03,TT,"(1, 7, 10, 1)",7,10,3110220,16628,0.994653754,187.04714938657685,0.4251358901770381,42.513589017703815,0.8192594748833774,81.92594748833774,0.6778791400001865,Success
../data/preprocessed/002/motor/run03_epochs.npz,002,motor,run03,TT,"(1, 10, 7, 1)",10,7,3110220,12647,0.9959337281607089,245.92551593263224,0.40112608125632787,40.11260812563279,0.8390978669359419,83.90978669359419,0.7640045079997435,Success
../data/preprocessed/002/motor/run03_epochs.npz,002,motor,run03,TT,"(1, 10, 10, 1)",10,10,3110220,17750,0.9942930082116378,175.22366197183098,0.35279187961491254,35.27918796149125,0.87553789,87.55378897,0.7161476360006418,Success
../data/preprocessed/002/motor/run03_epochs.npz,002,motor,run03,TT,"(1, 10, 15, 1)",10,15,3110220,26255,0.9915584749631858,118.46200723671681,0.3435070469438163,34.350704694381626,0.8820029086999388,88.20029086999388,0.6695307849995515,Success
../data/preprocessed/002/motor/run03_epochs.npz,002,motor,run03,TT,"(1, 15, 10, 1)",15,10,3110220,19620,0.9936917645697089,158.52293577981652,0.2879644203092827,28.796442030928272,0.9170764926359387,91.70764926359386,0.9581184310000026,Success
